name,address,city,state,zip_code,place_id,lat,lng,source_query
Islamic Cultural Center Riverside Drive,"1 Riverside Dr, New York, NY 10023, United States",New York,NY,10023,ChIJsxvZLmJYwokRAMsZaNGZzXU,40.7804642,-73.98538049999999,"mosques in Manhattan, NYC"
Masjid Malcolm Shabazz,"102 W 116th St, New York, NY 10026, United States",New York,NY,10026,ChIJw6noUxD2wokRnj5_OciSlA8,40.8020169,-73.95023929999999,"mosques in Manhattan, NYC"
Al-Aman Mosque,"203 Forbell St, Brooklyn, NY 11208, United States",Brooklyn,NY,11208,ChIJTekAOpVdwokRwp9q-SJz80k,40.6781623,-73.86380919999999,"mosques in Brooklyn, NYC"
Masjid Dar Al-Istiqamah (NYICCI),"1239 Belmont Ave, Brooklyn, NY 11208, United States",Brooklyn,NY,11208,ChIJrTB4UJRdwokR9J3j_a70R0s,40.6754245,-73.8617501,"mosques in Brooklyn, NYC"
Baitul Mamur Mosque and Community Center,"1033 Glenmore Ave, Brooklyn, NY 11208, United States",Brooklyn,NY,11208,ChIJ2Z4YLrldwokRw4rtSdN0F4U,40.67686399999999,-73.8718057,"mosques in Brooklyn, NYC"
AT Taqwa Inc,"1266 Bedford Ave, Brooklyn, NY 11216, United States",Brooklyn,NY,11216,ChIJywK230BbwokRol74mugarhc,40.6804573,-73.9535324,"mosques in Brooklyn, NYC"
Musjid Abu Hanifah Inc.,"2743 Pitkin Ave, Brooklyn, NY 11208, United States",Brooklyn,NY,11208,ChIJe2AFsb5dwokRktD2tXwmWoo,40.6756949,-73.8707761,"mosques in Brooklyn, NYC"
Brooklyn Islamic Center,"722 Church Ave, Brooklyn, NY 11218, United States",Brooklyn,NY,11218,ChIJ2w5pIDtbwokRxl2FvsYXWTQ,40.6455145,-73.9724401,"mosques in Brooklyn, NYC"
New Lots Islamic Center,"604 Jerome St, Brooklyn, NY 11207, United States",Brooklyn,NY,11207,ChIJ5yyjl6tdwokRJMovfeF79Bo,40.66600649999999,-73.8849771,"mosques in Brooklyn, NYC"
Makki Masjid Muslim Community Center,"1089 Coney Island Ave, Brooklyn, NY 11230, United States",Brooklyn,NY,11230,ChIJM13fesxEwokRrI8E-quqsk0,40.6310149,-73.96619770000001,"mosques in Brooklyn, NYC"
Al-Furqan Jame Masjid Inc.,"76-18 Glenmore Ave, Ozone Park, NY 11417, United States",Ozone Park,NY,11417,ChIJKWXRsZRdwokR2ij8hS6tJ-g,40.6778805,-73.8602545,"mosques in Brooklyn, NYC"
